"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"AA555A0000000101","","2016-11-02 20:36:12.174Z",  59005780, 867500000,0, 5,"CRC_BAD",253,"LORA",125000,"SF7"   ,"4/7",-120,-12.0,"EDDD156F-793183C4-04256B9B-B9D947E0-E1D3076B-2655A4E0-A9992E54-9194FFC1-107C7751-68957CB7-037B005A-9317EBDD-F87C2A47-9FA60DAC-5B9F41D6-A627739B-83B327E9-117D5273-713A8562-7197A3CC-48F096BD-BE942B9C-F6282F7C-E31225A9-5BD5DE7E-C7779B9E-DB259F22-FE3398C2-75D563B7-747336C9-309E2FEC-620CC100-86FDE741-7E320D50-02A2C115-605E755F-01BBD236-2E2AE506-9442B2F4-DE7A973D-AEE384F4-777A080F-A7D5CBF0-817F6033-5E40F6DB-87355F42-34EB54D6-DBB9FF92-495263A1-7D74C739-E496C766-87DEC98A-A510CBA2-02968FC4-E85A4BC9-9BB114C0-CF6E1F3C-BBCE763F-1F092F9A-208EABC3-62D8C23E-2FC9F510-F255FEFA-1C"
"AA555A0000000101","","2016-11-02 20:36:24.141Z",  70973850, 868300000,1, 8,"CRC_BAD", 84,"LORA",250000,"SF7"   ,"4/7",-116,-11.8,"304B7653-DB2948F6-DF4A3F84-4DE51DEE-80041419-68A69920-0A4B3383-886200A1-798DABC0-436772F9-45FF9427-7681442E-E06CF835-08A91920-C38CE860-8F065970-46FA2F8C-5329F0B4-28692864-CF791974-AA8323D7"
"AA555A0000000101","","2016-11-02 20:37:07.211Z", 114043318, 868300000,1, 8,"CRC_BAD",137,"LORA",250000,"SF7"   ,"4/7",-116,-11.5,"D2FEF4FB-80E1FE13-B96385C0-C259864B-70E45C08-77316AAF-188C9A4A-3D2BF5DC-2C42909F-CF722A3D-E95B4B09-53952FFD-49E8672C-B70FF788-6182109B-932B786B-65553A13-A5A5FABD-460701EA-6877D32E-0FA47EF6-A878A8A3-14962762-FA77407C-BBEF45E6-60C23E8D-734121A2-D5EAF5C9-3531AA5D-C4ECFA42-9B151599-3FA2E42F-318E88B8-C14B05EA-B3"
"AA555A0000000101","","2016-11-02 20:37:19.835Z", 126665076, 867900000,0, 7,"CRC_BAD",193,"LORA",125000,"SF7"   ,"4/7",-121,-11.0,"006F5B4C-A657771E-E388120F-7F8BB247-AB1D5687-76F4F612-732E177D-58EB093B-FE48D0C4-9EE98941-402BA780-A19B1425-DE162A4B-0D635C53-FEB82C93-408A9AB3-3FF5E60B-777239C8-F95339A6-14373933-4BD8FD86-D2ABC58A-CF2E14AA-26933DE4-ABC35051-130F3D38-906BB5FD-5BFDE3A0-6EC7E169-7F53ECDA-5BEA5C9B-4BBE4736-010028FD-BE8B1C04-6D2E08CB-99B0EF26-9CA8D18A-51929271-B2745388-548C25ED-AC0295C3-6694F90D-77703E1E-12347384-1DD91651-CBBDED2A-52AB73D5-31A3C973-49"
"AA555A0000000101","","2016-11-02 20:44:01.512Z", 528343363, 868300000,1, 1,"CRC_BAD", 95,"LORA",125000,"SF7"   ,"4/7",-119,-12.5,"451214E8-745652BC-170AD472-FDBAC0F6-135F588E-191BC39F-86C40768-443A24EC-8650E8FB-FCF7A935-3DBB3DF8-9E3A0A6A-8C3BCE9A-31183F78-23BD0AB8-6ECC6793-7D1ED481-33CB4A51-F2DA3EDA-590E3296-2768F6BA-8434C549-937BA055-FBF349"
"AA555A0000000101","","2016-11-02 20:44:31.626Z", 558455428, 867500000,0, 5,"CRC_BAD",112,"LORA",125000,"SF9"   ,"4/5",-119,-17.2,"DACD80C1-A861A459-03401765-9D992464-FD260B22-034377C7-EAE2BA58-9036FA0F-135458E3-D3D1C16A-ABE60458-60B2B983-8E60EB08-967C4842-021FCB50-83E2B3B1-B5E7BEEC-F494DCDE-32C1DD33-E2005C39-A1F6F7B6-AF59D2B0-171750DE-29F1CA18-C76BFB47-F954D4B8-C2D90988-9D302859"
"AA555A0000000101","","2016-11-02 20:51:30.840Z", 977672658, 868300000,1, 8,"CRC_BAD",182,"LORA",250000,"SF7"   ,"2/3",-119,-12.0,"9548450A-275BA3C5-E1392D4C-07BEE528-9A1FC6BA-D9A5EC19-906C7737-2D03FB0C-1B388766-955BBB6B-6F17E127-BAEE2361-7CC66635-C7D18539-F852A2BA-6BD8B995-E3E74FA1-50963FF7-D965A71B-CCB4EBA2-4459768A-5CE3E800-ABEE34CF-F93E28E4-36FBDDEC-825EE4E3-C7E17F69-42BB02DA-4E33C191-73B79018-CF1A2626-9A65B240-5A16211F-D56D8871-C0106446-6830EE81-7EEFBBE1-A78A0592-97EF0015-77FC5255-218231FE-E921E3B2-1F008A77-04BA2C6A-56BA85C3-8A3E"
"AA555A0000000101","","2016-11-02 20:55:12.336Z",1199169268, 867700000,0, 6,"CRC_BAD",225,"LORA",125000,"SF7"   ,"2/3",-119,-11.2,"530C4C3B-2858DCAF-8F5C0128-55B86FB8-DEA485D4-10D0002E-2585E96F-53DDCB56-4CB80B72-C10D0CAA-7EF0B4A9-F0F010E5-F6DEC4EB-175C87F1-C7CC8A9D-65E31C10-B308AC9E-AE4B78A5-3CA1812E-CE57F7D2-283C30E3-B2B7E3CF-2834A50D-3386126B-3AD0098F-A396BCF3-F05CA68B-9641C505-442C4BEA-300EF0A5-720B0215-B14E2F03-D4CF6CEC-0B8AB354-57ED1A0D-B073AF82-83708795-00C0FD3E-38C07ED7-91989C20-52505491-1ABCA358-1DAE5ED8-8E33CD71-842E0A00-1B9ACF86-5A9F1D18-0987DDC4-FD235CCD-352EA0AB-A7E3F24C-2EDDBDA6-26D7D23C-8291FDBF-7C842967-9473BA22-BA"
"AA555A0000000101","","2016-11-02 20:55:33.359Z",1220192462, 868300000,1, 8,"CRC_BAD",204,"LORA",250000,"SF7"   ,"4/7",-119,-12.0,"F9D4B3DE-E8401E84-3F542C51-DE620765-C125E682-F8FBF115-73982288-DE125500-08F97CFC-F40C236D-41C4C026-6E2CE837-3948C1B1-ACB91432-A1BBD2C6-93BCBF4D-23B260A7-C020189F-F2392CC7-0E0C7C8A-1784375B-DEE4605C-543CBE9D-630999F7-46191BA5-171F96DA-1E1FFD6D-7255D0EA-89BAC7D1-5F335C40-D8E934FA-E1C401ED-96BD1966-6C025689-4DB2E949-7DCBD363-DD685F08-134CF3C3-AD914D1E-64749AB6-45E8B03B-F8A2112D-2CAB1282-195B5C27-A550B2FE-359D2CA8-CE991489-39AF6131-DCFC926C-5D935D7B-17207175"
"AA555A0000000101","","2016-11-02 21:00:53.838Z",1540670843, 867100000,0, 3,"CRC_BAD",155,"LORA",125000,"SF7"   ,"4/7",-120,-12.0,"DEC85789-8CA1CCCC-9CF42D5D-090F2598-78051286-1849A131-87916EC9-447D4F92-CF5CDC06-52C4D713-FDE8BF6D-E2623438-597840AD-6B823B5B-644875F0-E1702580-0C21EF72-DA84181E-AF553A5A-6A5FDD9D-554DA3CC-E80238F8-F6728A8C-0791C5BE-EFA5E842-AF00890C-69B7E489-266FECD5-519F6DCA-A219E926-40F6BF3C-D6E93533-B993898D-4BDE3868-23CFE813-B1F58311-AE33F21E-B1921323-64CF5A"
